IMG_20210824_152206.jpg	-220	8456	-4694
IMG_20210824_152209.jpg	2730	7940	-4803
IMG_20210824_152220.jpg	7565	2274	-5422
IMG_20210824_152228.jpg	7580	-655	-5837
IMG_20210824_152233.jpg	6986	-3470	-5663
IMG_20210824_152238.jpg	4894	-6228	-5774
IMG_20210824_152242.jpg	1905	-7597	-6153
IMG_20210824_152249.jpg	-868	-8534	-4925
IMG_20210824_152253.jpg	-2816	-8282	-4615
IMG_20210824_152257.jpg	-4911	-7310	-4507
IMG_20210824_152300.jpg	-6526	-6031	-4483
IMG_20210824_152308.jpg	-8114	-3167	-4816
IMG_20210824_152311.jpg	-8347	-2017	-4906
IMG_20210824_152417.jpg	-8156	3026	-4541
IMG_20210824_152420.jpg	-6815	5522	-4383
IMG_20210824_152423.jpg	-4754	7434	-4279
IMG_20210824_152428.jpg	-1917	8641	-4058
