IMG_20220821_171315.jpg	9323	-112	2696
IMG_20220821_171343.jpg	9039	-3458	645
IMG_20220821_171411.jpg	8672	-2997	-3099
IMG_20220821_171433.jpg	6540	-5977	4199
IMG_20220821_171458.jpg	4387	-8740	671
IMG_20220821_171523.jpg	4573	-7983	-3349
IMG_20220821_171547.jpg	63	-8930	4227
IMG_20220821_171618.jpg	-5394	-8330	-142
IMG_20220821_171643.jpg	-5111	-7778	-3349
IMG_20220821_171712.jpg	-6613	-5928	4461
IMG_20220821_171740.jpg	-8582	-4891	181
IMG_20220821_171801.jpg	-8745	-3591	-2947
IMG_20220821_171829.jpg	-9471	-149	2838
IMG_20220821_171856.jpg	-8584	4737	298
IMG_20220821_171919.jpg	-8328	3888	-3409
IMG_20220821_171941.jpg	-6257	6066	4508
IMG_20220821_172010.jpg	-4734	8516	575
IMG_20220821_172031.jpg	-4586	8034	-3116
IMG_20220821_172057.jpg	-361	8521	4760
IMG_20220821_172123.jpg	5336	8076	390
IMG_20220821_172202.jpg	4610	8036	-2771
IMG_20220821_172219.jpg	5577	6773	4247
IMG_20220821_172240.jpg	8814	3880	152
IMG_20220821_172255.jpg	8576	3533	-2658
